"complaint_number","status","date_entered","house_number","house_street","zip_code","bin","community_board","special_district","complaint_category","unit","disposition_date","disposition_code","inspection_date","dobrundate"
"4982211","CLOSED","12/12/2024","107-29","129 STREET","11419","4206074","410",,"45","Q-L","07/15/2025","C4","07/15/2025","20260427000000"
"1301351","CLOSED","04/24/2011","204","WEST  121 STREET","10027","1058474","110",,"74","MAN.","08/17/2011","C2","08/15/2011","20260427000000"
"1365729","CLOSED","02/17/2014","217","HAVEN AVENUE","10033","1063453","112",,"63","ELEVR","04/23/2015","A1","11/21/2014","20260427000000"
"2234436","CLOSED","10/23/2016","30","PILOT STREET","10464","2081765","210",,"63","ELEVR","10/26/2016","H1","10/26/2016","20260427000000"
"4623824","CLOSED","07/04/2015","43-08","74 STREET","11373","4032040","404",,"71","QNS.","04/14/2016","C2","04/13/2016","20260427000000"
"4116009","CLOSED","09/28/2000","20-31","129 STREET","11356","4438006","407",,"75","SPOPS","05/07/2002","H1","05/07/2002","20260427000000"
"3A57761","CLOSED","04/16/2026","926","MOTHER GASTON BOULEVARD","11212","3430175","316",,"4S","SYE","04/17/2026","I2","04/17/2026","20260427000000"
"3279491","CLOSED","09/12/2008","8701","BAY   16 STREET","11214","3167700","311",,"74","BKLYN","09/24/2008","C2","09/23/2008","20260427000000"
"4828396","CLOSED","11/07/2020","153-25","121 AVENUE","11434","4265295","412",,"74","QNS.","02/05/2021","I2","02/05/2021","20260427000000"
"3453791","CLOSED","08/18/2013","25","BOERUM STREET","11206","3338415","301",,"74","BKLYN","07/07/2014","I2","07/02/2014","20260427000000"
"3165395","CLOSED","08/05/2005","56","SOUTH   11 STREET","11211","3059814","301",,"37","BKLYN","08/05/2005","A9","08/05/2005","20260427000000"
"1470760","CLOSED","01/24/2018","1444","3 AVENUE","10028","1047572","108",,"4L","BEST","01/31/2018","L2","01/30/2018","20260427000000"
"1142446","CLOSED","05/17/2005","250","WEST   93 STREET","10025","1087656","107",,"14","ERT","05/18/2005","I2","05/17/2005","20260427000000"
"4467229","CLOSED","12/08/2010","35-11","DITMARS BOULEVARD","11105","4016608","401",,"91","QNS.","12/08/2010","I2","12/08/2010","20260427000000"
"2094585","CLOSED","02/05/2007","287","EAST  162 STREET","10451","2001981","204",,"35","BRONX","02/09/2007","I2","02/08/2007","20260427000000"
"4151986","CLOSED","08/20/2002","85-40","56 AVENUE","11373","4065451","404",,"74","QNS.","09/30/2002","C2","09/26/2002","20260427000000"
"4708554","CLOSED","10/02/2017","107-36","120 STREET","11419","4205481","410",,"05","QNS.","10/05/2017","A8","10/04/2017","20260427000000"
"3714842","CLOSED","08/05/2019","585","QUINCY STREET","11221","3044261","303",,"5H","OBM","08/05/2019","I2","08/05/2019","20260427000000"
"4046862","CLOSED","05/25/1995","61-49","56 ROAD","11378","4060494","405",,"65","QNS.","11/21/1995","C2","10/20/1995","20260427000000"
"3A49635","CLOSED","02/20/2026","2794","MILL AVENUE","11234","3242534","318",,"6Y","OBM","03/10/2026","L2","03/10/2026","20260427000000"
"1418185","CLOSED","03/06/2016","71","LAIGHT STREET","10013","1002818","101",,"04","ERT","03/19/2016","I2","03/19/2016","20260427000000"
"1217943","CLOSED","03/09/2008","520","EAST   90 STREET","10128","1051373","108",,"23","SCFLD","03/09/2008","I2","03/02/2008","20260427000000"
"4463673","CLOSED","11/03/2010","91-10","34 AVENUE","11372","4311939","403",,"45","QNS.","12/03/2010","I2","11/24/2010","20260427000000"
